Recto;Verso;Catégorie
"Effets iatrogènes caractéristiques des IEC ?";"Toux sèche, hyperkaliémie, insuffisance rénale aiguë fonctionnelle, angio-œdème. Surveiller kaliémie + créatinine après introduction.";"Cardio-néphro"
"Effets iatrogènes des ARA2 (sartans) ?";"Hyperkaliémie, IRA fonctionnelle, angio-œdème (rare). Pas de toux (contrairement aux IEC).";"Cardio-néphro"
"Triade néphrotoxique « triple whammy » ?";"IEC/ARA2 + diurétique + AINS → IRA fonctionnelle. Association à éviter, surtout sujet âgé/déshydraté.";"Néphro"
"Principaux effets iatrogènes des AINS ?";"Ulcère/hémorragie digestive, IRA, rétention hydrosodée, HTA, décompensation d'insuffisance cardiaque, hyperkaliémie.";"Digestif-rénal"
"Effets indésirables des diurétiques thiazidiques ?";"Hyponatrémie, hypokaliémie, hyperuricémie (goutte), hyperglycémie, hypercalcémie.";"Néphro-métabo"
"Effets indésirables des diurétiques de l'anse (furosémide) ?";"Hypokaliémie, déshydratation, ototoxicité (fortes doses), hyperuricémie, alcalose métabolique.";"Néphro"
"Risques des bêta-bloquants ?";"Bradycardie, bloc AV, bronchospasme (asthme/BPCO), masquage des signes d'hypoglycémie, asthénie, troubles érectiles, extrémités froides.";"Cardio"
"Effets iatrogènes d'une corticothérapie prolongée ?";"Diabète, HTA, ostéoporose, syndrome de Cushing, fragilité cutanée, troubles psy, infections, insuffisance surrénale au sevrage.";"Endocrino"
"Toxicité des statines ?";"Myalgies, rhabdomyolyse (rare, risque ↑ avec fibrates/macrolides), cytolyse hépatique. Doser CPK si douleurs musculaires.";"Métabo"
"Effets indésirables des fluoroquinolones ?";"Tendinopathie/rupture du tendon d'Achille, allongement du QT, photosensibilité, troubles neuro, dysglycémie. Prudence sujet âgé/corticoïdes.";"Infectio"
"Toxicité de la metformine ?";"Troubles digestifs, acidose lactique (si insuffisance rénale/hypoxie), carence en vitamine B12. Arrêt si DFG bas ou imagerie iodée.";"Diabéto"
"Risque principal des sulfamides hypoglycémiants ?";"Hypoglycémie (prolongée, sujet âgé/insuffisant rénal) et prise de poids.";"Diabéto"
"Effets iatrogènes des benzodiazépines chez le sujet âgé ?";"Chutes, confusion, troubles mnésiques, sédation, dépendance, syndrome de sevrage. Déprescrire progressivement.";"Gériatrie-psy"
"Effets indésirables des ISRS ?";"Hyponatrémie (SIADH), syndrome sérotoninergique, hémorragie digestive (surtout + AINS), troubles sexuels, hyponatrémie chez sujet âgé.";"Psychiatrie"
"Surveillance et toxicité du lithium ?";"Marge thérapeutique étroite : tremblements, hypothyroïdie, néphrotoxicité, intox (confusion, ataxie). Doser la lithémie + fonction thyroïde/rénale.";"Psychiatrie"
"Réactions graves à l'allopurinol ?";"Hypersensibilité : DRESS, syndrome de Stevens-Johnson/Lyell. Ne jamais débuter en pleine crise de goutte.";"Rhumato"
"Effets iatrogènes des IPP au long cours ?";"Hypomagnésémie, carence en B12/fer, infections (C. difficile, pneumopathie), fractures ostéoporotiques, néphrite interstitielle. Réévaluer l'indication.";"Digestif"
"Signes d'intoxication à la digoxine ?";"Marge étroite : nausées/vomissements, troubles visuels (dyschromatopsie), troubles du rythme/conduction. Risque ↑ si hypokaliémie/insuffisance rénale.";"Cardio"
"Toxicités de l'amiodarone ?";"Dysthyroïdie (hypo/hyper), fibrose pulmonaire, dépôts cornéens, photosensibilité, allongement du QT, hépatotoxicité. Bilan thyroïdien + radio thorax réguliers.";"Cardio"
"Effets de la charge anticholinergique ?";"Rétention urinaire, glaucome aigu par fermeture de l'angle, constipation, bouche sèche, confusion/chutes chez le sujet âgé.";"Gériatrie"
"Piège de prescription du méthotrexate ?";"Prise HEBDOMADAIRE (jamais quotidienne = surdosage mortel). Toxicité hématologique, hépatique, pulmonaire. Supplémentation en acide folique.";"Rhumato-sécurité"
"Risques du tramadol ?";"Abaissement du seuil épileptogène (convulsions), syndrome sérotoninergique (+ ISRS), hyponatrémie, nausées, dépendance.";"Antalgie"
"Effets indésirables des opioïdes ?";"Constipation (constante, à prévenir), sédation, dépression respiratoire, nausées, rétention urinaire, dépendance.";"Antalgie"
"Effets indésirables des neuroleptiques ?";"Syndrome extrapyramidal, syndrome malin des neuroleptiques, allongement du QT, prise de poids/syndrome métabolique, hyperprolactinémie, sédation.";"Psychiatrie"
"Devant une hyponatrémie chez le sujet âgé, quels médicaments évoquer ?";"Thiazidiques, ISRS/IRSNA, IPP, carbamazépine, desmopressine. Réflexe : revoir l'ordonnance.";"Raisonnement iatrogène"
"Devant des chutes répétées du sujet âgé, quels médicaments revoir ?";"Benzodiazépines/hypnotiques, antihypertenseurs (hypoTA orthostatique), anticholinergiques, hypoglycémiants, opioïdes, neuroleptiques.";"Raisonnement iatrogène"
"Devant une confusion aiguë du sujet âgé, quelle cause iatrogène ?";"Charge anticholinergique, benzodiazépines, opioïdes, corticoïdes, surdosage (digoxine, lithium), sevrage. Toujours faire le bilan médicamenteux.";"Raisonnement iatrogène"
"Devant une hyperkaliémie, quels médicaments en cause ?";"IEC/ARA2, diurétiques épargneurs de potassium (spironolactone), AINS, héparine, triméthoprime. Risque majoré par insuffisance rénale.";"Raisonnement iatrogène"
